,size,sparsity,min,max,start,end,hardware
82,300,0.25,1,1000,2024-10-03 03:10:00+00:00,2024-10-03 03:10:01+00:00,1_8
83,300,0.25,1,10000,2024-10-03 03:10:01+00:00,2024-10-03 03:10:01+00:00,1_8
84,300,0.25,10,100,2024-10-03 03:10:01+00:00,2024-10-03 03:10:01+00:00,1_8
85,300,0.25,10,1000,2024-10-03 03:10:01+00:00,2024-10-03 03:10:01+00:00,1_8
86,300,0.25,10,10000,2024-10-03 03:10:01+00:00,2024-10-03 03:10:02+00:00,1_8
87,300,0.25,50,100,2024-10-03 03:10:02+00:00,2024-10-03 03:10:02+00:00,1_8
88,300,0.25,50,1000,2024-10-03 03:10:02+00:00,2024-10-03 03:10:02+00:00,1_8
89,300,0.25,50,10000,2024-10-03 03:10:02+00:00,2024-10-03 03:10:02+00:00,1_8
90,300,0.5,1,100,2024-10-03 03:10:02+00:00,2024-10-03 03:10:02+00:00,1_8
91,300,0.5,1,1000,2024-10-03 03:10:03+00:00,2024-10-03 03:10:03+00:00,1_8
92,300,0.5,1,10000,2024-10-03 03:10:03+00:00,2024-10-03 03:10:03+00:00,1_8
93,300,0.5,10,100,2024-10-03 03:10:03+00:00,2024-10-03 03:10:03+00:00,1_8
94,300,0.5,10,1000,2024-10-03 03:10:03+00:00,2024-10-03 03:10:03+00:00,1_8
95,300,0.5,10,10000,2024-10-03 03:10:04+00:00,2024-10-03 03:10:04+00:00,1_8
96,300,0.5,50,100,2024-10-03 03:10:04+00:00,2024-10-03 03:10:04+00:00,1_8
97,300,0.5,50,1000,2024-10-03 03:10:04+00:00,2024-10-03 03:10:04+00:00,1_8
98,300,0.5,50,10000,2024-10-03 03:10:05+00:00,2024-10-03 03:10:05+00:00,1_8
99,300,0.75,1,100,2024-10-03 03:10:05+00:00,2024-10-03 03:10:05+00:00,1_8
100,300,0.75,1,1000,2024-10-03 03:10:05+00:00,2024-10-03 03:10:05+00:00,1_8
101,300,0.75,1,10000,2024-10-03 03:10:06+00:00,2024-10-03 03:10:06+00:00,1_8
102,300,0.75,10,100,2024-10-03 03:10:06+00:00,2024-10-03 03:10:06+00:00,1_8
103,300,0.75,10,1000,2024-10-03 03:10:06+00:00,2024-10-03 03:10:06+00:00,1_8
104,300,0.75,10,10000,2024-10-03 03:10:06+00:00,2024-10-03 03:10:06+00:00,1_8
105,300,0.75,50,100,2024-10-03 03:10:07+00:00,2024-10-03 03:10:07+00:00,1_8
106,300,0.75,50,1000,2024-10-03 03:10:07+00:00,2024-10-03 03:10:07+00:00,1_8
107,300,0.75,50,10000,2024-10-03 03:10:07+00:00,2024-10-03 03:10:07+00:00,1_8
108,400,0.0,1,100,2024-10-03 03:10:07+00:00,2024-10-03 03:10:07+00:00,1_8
109,400,0.0,1,1000,2024-10-03 03:10:08+00:00,2024-10-03 03:10:08+00:00,1_8
110,400,0.0,1,10000,2024-10-03 03:10:08+00:00,2024-10-03 03:10:08+00:00,1_8
111,400,0.0,10,100,2024-10-03 03:10:08+00:00,2024-10-03 03:10:08+00:00,1_8
112,400,0.0,10,1000,2024-10-03 03:10:08+00:00,2024-10-03 03:10:08+00:00,1_8
113,400,0.0,10,10000,2024-10-03 03:10:09+00:00,2024-10-03 03:10:09+00:00,1_8
114,400,0.0,50,100,2024-10-03 03:10:09+00:00,2024-10-03 03:10:09+00:00,1_8
115,400,0.0,50,1000,2024-10-03 03:10:09+00:00,2024-10-03 03:10:09+00:00,1_8
116,400,0.0,50,10000,2024-10-03 03:10:09+00:00,2024-10-03 03:10:09+00:00,1_8
117,400,0.25,1,100,2024-10-03 03:10:09+00:00,2024-10-03 03:10:10+00:00,1_8
118,400,0.25,1,1000,2024-10-03 03:10:10+00:00,2024-10-03 03:10:10+00:00,1_8
119,400,0.25,1,10000,2024-10-03 03:10:10+00:00,2024-10-03 03:10:10+00:00,1_8
120,400,0.25,10,100,2024-10-03 03:10:10+00:00,2024-10-03 03:10:10+00:00,1_8
121,400,0.25,10,1000,2024-10-03 03:10:10+00:00,2024-10-03 03:10:11+00:00,1_8
122,400,0.25,10,10000,2024-10-03 03:10:11+00:00,2024-10-03 03:10:11+00:00,1_8
123,400,0.25,50,100,2024-10-03 03:10:11+00:00,2024-10-03 03:10:11+00:00,1_8
124,400,0.25,50,1000,2024-10-03 03:10:11+00:00,2024-10-03 03:10:11+00:00,1_8
125,400,0.25,50,10000,2024-10-03 03:10:11+00:00,2024-10-03 03:10:12+00:00,1_8
126,400,0.5,1,100,2024-10-03 03:10:12+00:00,2024-10-03 03:10:12+00:00,1_8
127,400,0.5,1,1000,2024-10-03 03:10:12+00:00,2024-10-03 03:10:12+00:00,1_8
128,400,0.5,1,10000,2024-10-03 03:10:13+00:00,2024-10-03 03:10:13+00:00,1_8
129,400,0.5,10,100,2024-10-03 03:10:13+00:00,2024-10-03 03:10:13+00:00,1_8
130,400,0.5,10,1000,2024-10-03 03:10:13+00:00,2024-10-03 03:10:13+00:00,1_8
131,400,0.5,10,10000,2024-10-03 03:10:13+00:00,2024-10-03 03:10:13+00:00,1_8
132,400,0.5,50,100,2024-10-03 03:10:14+00:00,2024-10-03 03:10:14+00:00,1_8
133,400,0.5,50,1000,2024-10-03 03:10:14+00:00,2024-10-03 03:10:14+00:00,1_8
134,400,0.5,50,10000,2024-10-03 03:10:14+00:00,2024-10-03 03:10:14+00:00,1_8
135,400,0.75,1,100,2024-10-03 03:10:14+00:00,2024-10-03 03:10:14+00:00,1_8
136,400,0.75,1,1000,2024-10-03 03:10:15+00:00,2024-10-03 03:10:15+00:00,1_8
137,400,0.75,1,10000,2024-10-03 03:10:15+00:00,2024-10-03 03:10:15+00:00,1_8
138,400,0.75,10,100,2024-10-03 03:10:15+00:00,2024-10-03 03:10:15+00:00,1_8
139,400,0.75,10,1000,2024-10-03 03:10:15+00:00,2024-10-03 03:10:15+00:00,1_8
140,400,0.75,10,10000,2024-10-03 03:10:16+00:00,2024-10-03 03:10:16+00:00,1_8
141,400,0.75,50,100,2024-10-03 03:10:16+00:00,2024-10-03 03:10:16+00:00,1_8
142,400,0.75,50,1000,2024-10-03 03:10:16+00:00,2024-10-03 03:10:16+00:00,1_8
143,400,0.75,50,10000,2024-10-03 03:10:16+00:00,2024-10-03 03:10:16+00:00,1_8
144,500,0.0,1,100,2024-10-03 03:10:16+00:00,2024-10-03 03:10:17+00:00,1_8
145,500,0.0,1,1000,2024-10-03 03:10:17+00:00,2024-10-03 03:10:17+00:00,1_8
146,500,0.0,1,10000,2024-10-03 03:10:17+00:00,2024-10-03 03:10:17+00:00,1_8
147,500,0.0,10,100,2024-10-03 03:10:17+00:00,2024-10-03 03:10:17+00:00,1_8
148,500,0.0,10,1000,2024-10-03 03:10:18+00:00,2024-10-03 03:10:18+00:00,1_8
149,500,0.0,10,10000,2024-10-03 03:10:18+00:00,2024-10-03 03:10:18+00:00,1_8
150,500,0.0,50,100,2024-10-03 03:10:18+00:00,2024-10-03 03:10:18+00:00,1_8
151,500,0.0,50,1000,2024-10-03 03:10:18+00:00,2024-10-03 03:10:19+00:00,1_8
152,500,0.0,50,10000,2024-10-03 03:10:19+00:00,2024-10-03 03:10:19+00:00,1_8
153,500,0.25,1,100,2024-10-03 03:10:19+00:00,2024-10-03 03:10:19+00:00,1_8
154,500,0.25,1,1000,2024-10-03 03:10:19+00:00,2024-10-03 03:10:19+00:00,1_8
155,500,0.25,1,10000,2024-10-03 03:10:20+00:00,2024-10-03 03:10:20+00:00,1_8
156,500,0.25,10,100,2024-10-03 03:10:20+00:00,2024-10-03 03:10:20+00:00,1_8
157,500,0.25,10,1000,2024-10-03 03:10:20+00:00,2024-10-03 03:10:20+00:00,1_8
