canopy_moisture,run_max_mem_rss_bytes,sim_time,surface_moisture,threads,wind_direction,wind_speed,run_uuid,area,runtime,cpu_usage_total,mem_usage_total,transmitted_packets_total,received_packets_total,transmitted_bandwidth_total,received_bandwidth_total,queue_seconds,hardware
0.2,11086880.0,18801,0.2,1,90.0,1.0,d57caa0f-dd6d-4b59-8944-0cb3897066d1,1854216.0,57287.0,102821.14882410307,26095730687.0,75608.65611890759,189757.5659310891,786225446.6920736,1311343270.3489263,25.0,2_16
0.2,11138048.0,18801,0.6,1,90.0,8.0,fb27cfbc-713b-4163-88b1-25943dc1f3d4,1854216.0,43246.0,65131.00510045548,26412314623.0,109550.42680547174,255272.75873608747,784562136.9352322,1324045122.7196262,42.0,2_16
0.2,11138584.0,18801,0.6,1,90.0,1.0,8389edf9-4461-471e-9621-ef3aa2e553e9,1854216.0,25406.0,43643.69387743676,26412314623.0,90063.53711909238,229320.42250984267,566364765.9799776,1321283986.0065384,37.0,2_16
0.4,11103124.0,18801,0.2,1,90.0,8.0,76c0078c-1f1c-4247-86ff-72f998952f5b,1854216.0,31901.0,84972.78013509775,36880015359.0,45232.97680392365,64955.612311558856,694615909.7860426,346811748.92253405,69.0,2_16
0.4,11101140.0,18801,0.2,1,90.0,1.0,5ee7e0c4-90e2-47b1-9325-25dae58ef535,1854216.0,33748.0,90477.835639165,36880015359.0,47817.62575737052,67448.38300594289,747252968.4590487,347312023.1697118,54.0,2_16
0.4,11091100.0,18801,0.6,1,90.0,8.0,52e3241e-15bf-4c4a-9194-a8d9b61ef245,1854216.0,23197.0,58846.433419491615,38891143167.0,48062.46174294479,111355.6597,611887239.5801678,488281973.8204376,11.0,2_16
0.4,11104748.0,18801,0.6,1,90.0,1.0,1025ec80-c93a-4561-8f2d-34db12f45ae5,1854216.0,30468.0,77009.94085359653,38891143167.0,56923.54197118437,118980.42349808745,765937351.5944295,489706191.28274417,8.0,2_16
0.2,11178432.0,18801,0.2,1,90.0,8.0,df56dc7e-c511-47fc-9eda-292f745dbecb,1854216.0,41150.0,75195.108560678,26269372415.0,74785.37632688516,164721.0283179856,664788596.7909379,1939205812.302714,23.0,2_16
0.2,11166228.0,18801,0.2,1,90.0,1.0,8604efea-98a0-4aad-aad6-d9046e2a7aac,1854216.0,55057.0,92735.70048066604,26269372415.0,85333.47713026805,178680.32385931833,809846144.324939,1941062642.120748,25.0,2_16
0.2,11169016.0,18801,0.6,1,90.0,8.0,69b5d193-28cc-4356-9d2b-12a070f45801,1854216.0,34134.0,61082.683005663785,39091081215.0,101051.05635792794,226578.541584372,754509459.8429447,2140531629.213153,41.0,2_16
